Miscare,Scor,Password
-,50,0
L47,56,1
R26,82,1
L18,64,1
R18,82,1
R26,8,2
R15,23,2
L33,90,3
R8,98,3
L26,72,3
L25,47,3
R6,53,3
L47,59,4
L7,52,4
R40,92,4
L1,91,4
L4,87,4
R43,30,5
L30,0,6
R3,3,6
L1,2,6
R8,10,6
L18,92,7
L25,67,7
R20,87,7
L45,97,8
R12,9,9
R12,21,9
R32,53,9
L14,39,9
L50,89,10
R32,21,11
L31,90,12
R37,27,13
L34,93,14
R8,1,15
L18,83,16
R15,98,16
R14,12,17
L10,92,18
R38,30,19
R34,64,19
L45,74,20
L34,40,20
L13,27,20
R32,59,20
R2,61,20
L12,49,20
L19,30,20
L2,28,20
L22,84,21
L19,65,21
L87,78,22
R6,84,22
R34,18,23
R74,92,23
L66,60,24
R58,18,25
L40,78,26
R79,57,27
R74,31,28
R33,64,28
R3,67,28
L22,45,28
L71,74,29
L62,50,30
R91,41,31
R5,46,31
L61,85,32
L30,55,32
L99,56,33
R43,99,33
R44,43,34
R3,46,34
R80,26,35
R59,85,35
R96,81,36
L27,54,36
L98,56,37
R28,84,37
L98,86,38
L4,82,38
R13,95,38
L97,98,39
L42,56,39
R81,37,40
L81,56,41
L80,76,42
L91,85,43
R6,91,43
R65,56,44
R48,4,45
R86,90,45
R44,34,46
R22,56,46
L80,76,47
L20,56,47
R55,11,48
R45,56,48
R58,14,49
L42,72,50
L41,90,51
L75,40,52
L41,99,53
L966,67,63
R402,69,67
R5,74,67
L384,90,71
L616,74,77
L88,86,78
R45,31,79
R8,39,79
R24,63,79
R11,74,79
R512,86,84
R88,74,85
R84,58,86
L549,60,92
R26,86,92
R25,11,93
R60,71,93
L70,31,94
L76,55,95
R362,17,99
L162,55,101
L447,61,106
R95,56,107
L30,96,108
R182,78,110
L16,62,110
R916,78,119
R919,97,128
L19,78,128
L24,54,128
L56,98,129
R11,9,130
R8,17,130
L35,82,131
L4,78,131
L77,24,132
R45,69,132
L68,33,133
R50,83,133
R53,36,134
L303,33,137
R50,83,137
R27,10,138
L77,33,139
L44,89,140
L956,77,150
R622,99,156
L19,80,156
L677,26,163
L4,22,163
L76,46,164
R62,8,165
L50,58,166
L84,74,167
R23,97,167
R89,86,168
R97,83,169
L94,89,170
L89,0,171
R99,99,171
R7,6,172
R53,59,172
L59,0,173
R76,76,173
R93,69,174
L31,38,174
L15,23,174
L23,0,175
R88,88,175
R12,0,176
L93,14,177
L36,78,178
R460,38,183
R47,85,183
R22,7,184
L69,38,185
L58,80,186
R45,25,187
L718,89,195
R94,83,196
L23,60,196
L28,32,196
L43,89,197
R80,69,198
L80,89,199
L85,19,200
L15,89,201
R85,74,202
R35,9,203
R180,89,204
R67,56,205
L43,70,206
L79,91,207
R54,45,208
L99,46,209
L90,56,210
L10,46,210
R64,10,211
R408,18,215
L72,46,216
R38,84,216
L87,97,217
R36,33,218
L48,85,219
L39,46,219
L67,79,220
L33,46,220
R30,76,220
R37,13,221
R2,15,221
R94,9,222
R441,50,226
L521,29,231
L47,82,232
R12,94,232
L40,54,232
R671,25,239
R21,46,239
R7,53,239
R147,0,241
L54,92,242
L889,14,251
L74,40,252
L258,82,255
L51,80,256
R10,90,256
L796,94,264
R30,24,265
R79,3,266
L51,52,267
R78,30,268
L84,46,269
L5,41,269
R54,95,269
R55,50,270
L30,90,271
L68,54,272
R79,33,273
L10,23,273
L269,54,276
L65,89,277
L53,83,278
R61,44,279
R240,84,281
R29,13,282
L28,85,283
R330,15,287
R25,40,287
L54,86,288
L585,16,294
R71,87,294
L41,46,294
R47,93,294
L507,86,299
R30,16,300
R156,72,301
L56,60,302
L724,36,309
L76,60,310
R33,93,310
R1,94,310
R94,88,311
L37,51,311
L7,44,311
R52,96,311
L47,49,311
R611,60,317
R72,32,318
L13,19,318
L97,22,319
R38,60,319
R92,52,320
R65,17,321
L57,60,322
R858,18,331
L83,35,332
L75,60,333
R30,90,333
L330,60,336
L476,84,341
L47,90,342
R33,23,343
L87,36,344
L52,84,345
R29,13,346
L55,58,347
L45,68,348
R1,69,348
R99,68,349
R39,7,350
R61,68,350
L17,51,350
L783,68,358
L33,35,358
L67,68,359
R42,10,360
R86,96,360
R22,18,361
L450,68,366
R69,37,367
R31,68,367
R30,98,367
L930,68,376
L3,65,376
L39,87,377
R973,60,387
L38,84,388
R25,9,389
R23,32,389
R79,11,390
R39,50,390
L59,91,391
R605,96,397
L334,62,400
L98,64,401
L973,91,411
L15,76,411
R11,87,411
L82,23,412
R86,9,413
L57,52,414
R29,81,414
R65,46,415
R5,51,415
L52,99,416
L8,91,416
R26,17,417
R33,50,417
R59,9,418
L31,78,419
L18,60,419
R49,9,420
R81,90,420
L81,28,421
R357,85,424
L57,71,425
L51,69,426
R51,20,427
L17,86,428
R67,53,429
L108,45,430
R58,3,431
R12,15,431
R373,88,434
R15,3,435
R18,21,435
L618,85,442
R768,53,450
L4,49,450
L29,91,451
R31,22,452
L25,97,453
R39,36,454
L880,56,463
R81,37,464
L56,81,465
R75,56,466
R77,33,467
L452,81,472
R75,56,473
R49,5,474
R35,40,474
R85,25,475
L103,22,476
L97,25,477
R9,34,477
L934,0,487
R53,53,487
R46,99,487
L43,56,487
L10,46,487
L436,74,492
R47,21,493
R65,86,493
R25,11,494
L6,99,495
R223,22,498
R411,33,502
L19,95,503
R532,27,509
L21,85,510
L69,47,511
L89,58,512
L37,84,513
R88,72,514
R94,66,515
R2,68,515
L83,85,516
L16,69,516
L717,52,523
R18,70,523
L49,72,524
L37,98,525
L16,82,525
L65,52,526
R65,17,527
L454,63,532
R26,89,532
R210,99,534
L58,83,535
R50,33,536
R526,59,541
R97,56,542
R92,48,543
R20,68,543
L196,72,545
L13,59,545
L12,47,545
L88,59,546
L17,42,546
R48,90,546
R984,74,556
L15,59,556
L50,59,557
L70,89,558
R20,9,559
R49,58,559
L49,60,560
R42,2,561
R60,62,561
L13,49,561
R11,60,561
R50,10,562
L71,39,563
R79,18,564
R96,14,565
R46,60,565
R57,17,566
R21,38,566
L778,60,574
L803,57,582
R3,60,582
L865,95,591
R22,17,592
L40,77,593
R407,84,597
L79,26,598
L57,69,599
R12,81,599
R11,92,599
L864,0,609
L47,59,610
R90,49,611
R98,47,612
R12,59,612
L216,43,614
L84,59,615
L97,62,616
L2,60,616
L25,35,616
L33,69,617
R33,2,618
L990,12,628
L58,54,629
L167,87,631
L28,59,631
R33,92,631
R340,32,635
R94,26,636
L38,88,637
R80,68,638
L42,84,639
L21,63,639
R28,91,639
R474,65,644
R4,69,644
L85,84,645
R59,43,646
L59,84,647
L979,26,657
R79,5,658
R77,82,658
R123,5,660
R515,20,665
L15,90,666
R32,22,667
L32,90,668
L21,69,668
L116,53,669
R37,90,669
L74,42,670
R74,16,671
L51,65,672
R35,0,673
L37,89,674
L26,63,674
R90,53,675
L56,97,676
R45,42,677
L280,62,680
R604,66,686
L60,46,687
R328,74,690
L92,82,691
R913,95,700
R60,55,701
L21,34,701
L34,0,702
L18,64,702
R4,68,702
R93,61,703
L97,64,704
R54,18,705
L54,64,706
R86,50,707
R2,52,707
R12,64,707
L11,53,707
R11,64,707
L177,87,709
L22,65,709
R99,64,710
R25,89,710
L25,64,710
R7,71,710
L41,89,711
L30,59,711
L36,87,712
R86,73,713
R53,26,714
L606,20,720
R67,87,720
R5,92,720
L505,87,725
R164,51,727
L64,87,728
R98,85,729
L3,82,729
L195,87,731
L54,79,732
L97,82,733
R51,33,734
L20,93,735
R20,13,736
R92,5,737
L92,13,738
R65,78,738
R35,13,739
L42,71,740
R63,34,741
R79,13,742
R31,44,742
R94,38,743
R75,13,744
R18,31,744
R82,13,745
R32,45,745
L547,98,751
R153,51,753
R35,86,753
L573,40,759
R599,39,765
R90,29,766
R27,56,766
L16,40,766
L20,0,767
R20,20,767
L855,65,776
R255,20,779
R925,45,788
R75,20,789
R729,49,796
L29,91,797
L899,92,806
L1,91,806
L86,19,807
R29,48,807
L3,45,807
L40,65,808
L149,67,810
R69,36,811
L458,78,816
R11,89,816
L61,67,817
L580,87,823
R321,8,827
R247,55,829
L57,98,830
L63,72,831
L14,58,831
R57,15,832
R19,34,832
L42,92,833
L54,84,834
R31,15,835
R769,84,842
R57,41,843
L637,67,850
L544,79,856
L94,85,857
R7,92,857
L81,30,858
L73,57,859
R352,9,863
L8,93,864
L25,68,864
L878,90,873
R478,68,878
R70,38,879
R90,28,880
L37,91,881
L811,80,889
L70,40,890
L42,98,891
L92,14,892
R54,68,892
R43,11,893
R95,6,894
L161,45,896
L22,23,896
L17,89,897
L93,96,898
L565,66,904
L42,82,905
L63,56,906
L611,45,912
L726,93,920
L80,33,921
L42,91,922
L378,35,926
