Miscare,Scor,Password
-,50,0
L47,3,0
R26,29,0
L18,11,0
R18,29,0
R26,55,0
R15,70,0
L33,37,0
R8,45,0
L26,19,0
L25,94,1
R6,0,2
L47,53,2
L7,46,2
R40,86,2
L1,85,2
L4,81,2
R43,24,3
L30,94,4
R3,97,4
L1,96,4
R8,4,5
L18,86,6
L25,61,6
R20,81,6
L45,36,6
R12,48,6
R12,60,6
R32,92,6
L14,78,6
L50,28,6
R32,60,6
L31,29,6
R37,66,6
L34,32,6
R8,40,6
L18,22,6
R15,37,6
R14,51,6
L10,41,6
R38,79,6
R34,13,7
L45,68,8
L34,34,8
L13,21,8
R32,53,8
R2,55,8
L12,43,8
L19,24,8
L2,22,8
L22,0,9
L19,81,9
L87,94,10
R6,0,11
R34,34,11
R74,8,12
L66,42,13
R58,0,14
L40,60,14
R79,39,15
R74,13,16
R33,46,16
R3,49,16
L22,27,16
L71,56,17
L62,94,18
R91,85,19
R5,90,19
L61,29,19
L30,99,20
L99,0,21
R43,43,21
R44,87,21
R3,90,21
R80,70,22
R59,29,23
R96,25,24
L27,98,25
L98,0,26
R28,28,26
L98,30,27
L4,26,27
R13,39,27
L97,42,28
L42,0,29
R81,81,29
L81,0,30
L80,20,30
L91,29,31
R6,35,31
R65,0,32
R48,48,32
R86,34,33
R44,78,33
R22,0,34
L80,20,34
L20,0,35
R55,55,35
R45,0,36
R58,58,36
L42,16,36
L41,75,37
L75,0,38
L41,59,38
L966,93,48
R402,95,52
R5,0,53
L384,16,56
L616,0,63
L88,12,63
R45,57,63
R8,65,63
R24,89,63
R11,0,64
R512,12,69
R88,0,70
R84,84,70
L549,35,75
R26,61,75
R25,86,75
R60,46,76
L70,76,77
L76,0,78
R362,62,81
L162,0,83
L447,53,87
R95,48,88
L30,18,88
R182,0,90
L16,84,90
R916,0,100
R919,19,109
L19,0,110
L24,76,110
L56,20,110
R11,31,110
R8,39,110
L35,4,110
L4,0,111
L77,23,111
R45,68,111
L68,0,112
R50,50,112
R53,3,113
L303,0,117
R50,50,117
R27,77,117
L77,0,118
L44,56,118
L956,0,128
R622,22,134
L19,3,134
L677,26,141
L4,22,141
L76,46,142
R62,8,143
L50,58,144
L84,74,145
R23,97,145
R89,86,146
R97,83,147
L94,89,148
L89,0,149
R99,99,149
R7,6,150
R53,59,150
L59,0,151
R76,76,151
R93,69,152
L31,38,152
L15,23,152
L23,0,153
R88,88,153
R12,0,154
L93,7,154
L36,71,155
R460,31,160
R47,78,160
R22,0,161
L69,31,161
L58,73,162
R45,18,163
L718,0,171
R94,94,171
L23,71,171
L28,43,171
L43,0,172
R80,80,172
L80,0,173
L85,15,173
L15,0,174
R85,85,174
R35,20,175
R180,0,177
R67,67,177
L43,24,177
L79,45,178
R54,99,178
L99,0,179
L90,10,179
L10,0,180
R64,64,180
R408,72,184
L72,0,185
R38,38,185
L87,51,186
R36,87,186
L48,39,186
L39,0,187
L67,33,187
L33,0,188
R30,30,188
R37,67,188
R2,69,188
R94,63,189
R441,4,194
L521,83,200
L47,36,200
R12,48,200
L40,8,200
R671,79,206
R21,0,207
R7,7,207
R147,54,208
L54,0,209
L889,11,217
L74,37,218
L258,79,221
L51,28,221
R10,38,221
L796,42,229
R30,72,229
R79,51,230
L51,0,231
R78,78,231
L84,94,232
L5,89,232
R54,43,233
R55,98,233
L30,68,233
L68,0,234
R79,79,234
L10,69,234
L269,0,237
L65,35,237
L53,82,238
R61,43,239
R240,83,241
R29,12,242
L28,84,243
R330,14,247
R25,39,247
L54,85,248
L585,0,254
R71,71,254
L41,30,254
R47,77,254
L507,70,259
R30,0,260
R156,56,261
L56,0,262
L724,76,269
L76,0,270
R33,33,270
R1,34,270
R94,28,271
L37,91,272
L7,84,272
R52,36,273
L47,89,274
R611,0,281
R72,72,281
L13,59,281
L97,62,282
